#OTUID	CN19Sc29_12_eDNA_RR	CN19Sc31_12_eDNA_RR	CN19Sc34_12_eDNA_RR	CN19Sc36_12_eDNA_RR	CN19Sc38_12_eDNA_RR	CN19Sc28_12_eDNA_RR	CN19Sc30_12_eDNA_RR	CN19Sc37_12_eDNA_RR	CN19Sc37_11_eDNA_RR	CN19SESPMV1_SC58_eDNA_AT	CN19Sc03_12_eDNA_JJ	CN19Sc10_12_eDNA_JJ	CN19Sc12_12_eDNA_JJ	CN19Sc15_12_eDNA_JJ	CN19Sc18_12_eDNA_JJ	CN19Sc21_12_eDNA_JJ	CN19Sc25_12_eDNA_JJ
ASV_296	4	17	11	35	8	20	15	6	20	0	714	1	5	25	6	27	13
ASV_624	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1165	2	2	642	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3689	2	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0
ASV_12	1	8	2	14	13	0	13	0	0	0	1	2	14	3	3	8451	3
ASV_16	1	9	0	2	1	0	2	0	65	2	1	0	0	0	0	2	0
ASV_157	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
ASV_306	1	0	70	0	0	0	0	1	0	0	0	5	0	0	0	1	0
ASV_1052	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_2074	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3078	1	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0
